LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1967-Q2,Q2-1967,PER,Persons,3,Thousands,,,7415,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1967-Q3,Q3-1967,PER,Persons,3,Thousands,,,7497.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1967-Q4,Q4-1967,PER,Persons,3,Thousands,,,7487.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1968-Q1,Q1-1968,PER,Persons,3,Thousands,,,7477.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1968-Q2,Q2-1968,PER,Persons,3,Thousands,,,7536.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1968-Q3,Q3-1968,PER,Persons,3,Thousands,,,7628,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1968-Q4,Q4-1968,PER,Persons,3,Thousands,,,7727.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1969-Q1,Q1-1969,PER,Persons,3,Thousands,,,7815.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1969-Q2,Q2-1969,PER,Persons,3,Thousands,,,7851.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1969-Q3,Q3-1969,PER,Persons,3,Thousands,,,7821.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1969-Q4,Q4-1969,PER,Persons,3,Thousands,,,7844,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1970-Q1,Q1-1970,PER,Persons,3,Thousands,,,7860.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1970-Q2,Q2-1970,PER,Persons,3,Thousands,,,7916,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1970-Q3,Q3-1970,PER,Persons,3,Thousands,,,7932.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1970-Q4,Q4-1970,PER,Persons,3,Thousands,,,7972.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1971-Q1,Q1-1971,PER,Persons,3,Thousands,,,8007.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1971-Q2,Q2-1971,PER,Persons,3,Thousands,,,8023.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1971-Q3,Q3-1971,PER,Persons,3,Thousands,,,8146,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1971-Q4,Q4-1971,PER,Persons,3,Thousands,,,8233.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1972-Q1,Q1-1972,PER,Persons,3,Thousands,,,8277.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1972-Q2,Q2-1972,PER,Persons,3,Thousands,,,8300.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1972-Q3,Q3-1972,PER,Persons,3,Thousands,,,8368,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1972-Q4,Q4-1972,PER,Persons,3,Thousands,,,8428.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1973-Q1,Q1-1973,PER,Persons,3,Thousands,,,8611.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1973-Q2,Q2-1973,PER,Persons,3,Thousands,,,8774.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1973-Q3,Q3-1973,PER,Persons,3,Thousands,,,8760.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1973-Q4,Q4-1973,PER,Persons,3,Thousands,,,8890,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1974-Q1,Q1-1974,PER,Persons,3,Thousands,,,9019.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1974-Q2,Q2-1974,PER,Persons,3,Thousands,,,9082,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1974-Q3,Q3-1974,PER,Persons,3,Thousands,,,9169.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1974-Q4,Q4-1974,PER,Persons,3,Thousands,,,9227.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1975-Q1,Q1-1975,PER,Persons,3,Thousands,,,9158.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1975-Q2,Q2-1975,PER,Persons,3,Thousands,,,9252.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1975-Q3,Q3-1975,PER,Persons,3,Thousands,,,9296,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1975-Q4,Q4-1975,PER,Persons,3,Thousands,,,9417,B,Break
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1976-Q1,Q1-1976,PER,Persons,3,Thousands,,,9666.9,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1976-Q2,Q2-1976,PER,Persons,3,Thousands,,,9737.533,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1976-Q3,Q3-1976,PER,Persons,3,Thousands,,,9778.4,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1976-Q4,Q4-1976,PER,Persons,3,Thousands,,,9824.7,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1977-Q1,Q1-1977,PER,Persons,3,Thousands,,,9869.733,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1977-Q2,Q2-1977,PER,Persons,3,Thousands,,,9903.833,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1977-Q3,Q3-1977,PER,Persons,3,Thousands,,,9928.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1977-Q4,Q4-1977,PER,Persons,3,Thousands,,,9980.233,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1978-Q1,Q1-1978,PER,Persons,3,Thousands,,,10060.27,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1978-Q2,Q2-1978,PER,Persons,3,Thousands,,,10161,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1978-Q3,Q3-1978,PER,Persons,3,Thousands,,,10282.67,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1978-Q4,Q4-1978,PER,Persons,3,Thousands,,,10394.77,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1979-Q1,Q1-1979,PER,Persons,3,Thousands,,,10503,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1979-Q2,Q2-1979,PER,Persons,3,Thousands,,,10605.87,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1979-Q3,Q3-1979,PER,Persons,3,Thousands,,,10733.57,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1979-Q4,Q4-1979,PER,Persons,3,Thousands,,,10836.73,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1980-Q1,Q1-1980,PER,Persons,3,Thousands,,,10894.43,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1980-Q2,Q2-1980,PER,Persons,3,Thousands,,,10922.23,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1980-Q3,Q3-1980,PER,Persons,3,Thousands,,,10985.73,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1980-Q4,Q4-1980,PER,Persons,3,Thousands,,,11116.7,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1981-Q1,Q1-1981,PER,Persons,3,Thousands,,,11256.17,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1981-Q2,Q2-1981,PER,Persons,3,Thousands,,,11345.73,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1981-Q3,Q3-1981,PER,Persons,3,Thousands,,,11339.63,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1981-Q4,Q4-1981,PER,Persons,3,Thousands,,,11275.87,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1982-Q1,Q1-1982,PER,Persons,3,Thousands,,,11171,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1982-Q2,Q2-1982,PER,Persons,3,Thousands,,,11012.93,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1982-Q3,Q3-1982,PER,Persons,3,Thousands,,,10845.53,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1982-Q4,Q4-1982,PER,Persons,3,Thousands,,,10775.13,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1983-Q1,Q1-1983,PER,Persons,3,Thousands,,,10831.4,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1983-Q2,Q2-1983,PER,Persons,3,Thousands,,,10968.83,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1983-Q3,Q3-1983,PER,Persons,3,Thousands,,,11124.73,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1983-Q4,Q4-1983,PER,Persons,3,Thousands,,,11170.9,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1984-Q1,Q1-1984,PER,Persons,3,Thousands,,,11192.8,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1984-Q2,Q2-1984,PER,Persons,3,Thousands,,,11252.83,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1984-Q3,Q3-1984,PER,Persons,3,Thousands,,,11359.9,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1984-Q4,Q4-1984,PER,Persons,3,Thousands,,,11403.03,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1985-Q1,Q1-1985,PER,Persons,3,Thousands,,,11506.47,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1985-Q2,Q2-1985,PER,Persons,3,Thousands,,,11604.07,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1985-Q3,Q3-1985,PER,Persons,3,Thousands,,,11705.5,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1985-Q4,Q4-1985,PER,Persons,3,Thousands,,,11811.17,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1986-Q1,Q1-1986,PER,Persons,3,Thousands,,,11915.9,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1986-Q2,Q2-1986,PER,Persons,3,Thousands,,,12000.73,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1986-Q3,Q3-1986,PER,Persons,3,Thousands,,,12025.67,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1986-Q4,Q4-1986,PER,Persons,3,Thousands,,,12073.77,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1987-Q1,Q1-1987,PER,Persons,3,Thousands,,,12138.47,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1987-Q2,Q2-1987,PER,Persons,3,Thousands,,,12278.2,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1987-Q3,Q3-1987,PER,Persons,3,Thousands,,,12381.2,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1987-Q4,Q4-1987,PER,Persons,3,Thousands,,,12530.03,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1988-Q1,Q1-1988,PER,Persons,3,Thousands,,,12635.7,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1988-Q2,Q2-1988,PER,Persons,3,Thousands,,,12684.6,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1988-Q3,Q3-1988,PER,Persons,3,Thousands,,,12721.53,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1988-Q4,Q4-1988,PER,Persons,3,Thousands,,,12803.4,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1989-Q1,Q1-1989,PER,Persons,3,Thousands,,,12947.07,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1989-Q2,Q2-1989,PER,Persons,3,Thousands,,,12967.17,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1989-Q3,Q3-1989,PER,Persons,3,Thousands,,,13012.8,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1989-Q4,Q4-1989,PER,Persons,3,Thousands,,,13053.67,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1990-Q1,Q1-1990,PER,Persons,3,Thousands,,,13120.8,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1990-Q2,Q2-1990,PER,Persons,3,Thousands,,,13125.87,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1990-Q3,Q3-1990,PER,Persons,3,Thousands,,,13101.13,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1990-Q4,Q4-1990,PER,Persons,3,Thousands,,,12986.43,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1991-Q1,Q1-1991,PER,Persons,3,Thousands,,,12849.5,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1991-Q2,Q2-1991,PER,Persons,3,Thousands,,,12872.3,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1991-Q3,Q3-1991,PER,Persons,3,Thousands,,,12867.97,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1991-Q4,Q4-1991,PER,Persons,3,Thousands,,,12831.47,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1992-Q1,Q1-1992,PER,Persons,3,Thousands,,,12768.8,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1992-Q2,Q2-1992,PER,Persons,3,Thousands,,,12728.27,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1992-Q3,Q3-1992,PER,Persons,3,Thousands,,,12708.77,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1992-Q4,Q4-1992,PER,Persons,3,Thousands,,,12713.23,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1993-Q1,Q1-1993,PER,Persons,3,Thousands,,,12766.3,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1993-Q2,Q2-1993,PER,Persons,3,Thousands,,,12761.57,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1993-Q3,Q3-1993,PER,Persons,3,Thousands,,,12812.73,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1993-Q4,Q4-1993,PER,Persons,3,Thousands,,,12849.2,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1994-Q1,Q1-1994,PER,Persons,3,Thousands,,,12891.5,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1994-Q2,Q2-1994,PER,Persons,3,Thousands,,,12998.2,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1994-Q3,Q3-1994,PER,Persons,3,Thousands,,,13130.2,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1994-Q4,Q4-1994,PER,Persons,3,Thousands,,,13224.6,,
DEU,Germany,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1962-Q1,Q1-1962,PER,Persons,3,Thousands,,,34013.15,E,Estimated value
DEU,Germany,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1962-Q2,Q2-1962,PER,Persons,3,Thousands,,,34009.3,E,Estimated value
